,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,921734821,20190506,201905,2019,2019.3452,,,,,,,,,,,AGR,FARMER,,,,,,AGR,,,1,112,112,11,3,-2.0,5,1,5,0.51635111876076,0,,,,,,,2,"South Dakota, United States",US,USSD,44.2853,-99.4632,SD,2,"South Dakota, United States",US,USSD,44.2853,-99.4632,SD,20200505,https://www.capjournal.com/news/s-d-farmers-get-corn-beans-in-early-for-a-change/article_4e0a0db0-8e47-11ea-ba18-e3bf3ace1ecd.html
1,921734822,20190506,201905,2019,2019.3452,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,0,20,20,2,1,3.0,918,90,918,-2.84437773599642,0,,,,,,,2,"West Virginia, United States",US,USWV,38.468,-80.9696,WV,2,"West Virginia, United States",US,USWV,38.468,-80.9696,WV,20200505,https://www.5newsonline.com/article/news/health/coronavirus/census-field-operations-restart-this-week-on-limited-basis/527-8c48373a-0bfa-42e7-bbbd-338c02b999fe
2,921734823,20190506,201905,2019,2019.3452,LEG,LEGISLATURE,,,,,,LEG,,,JUD,ATTORNEY,,,,,,JUD,,,0,23,23,2,1,3.4,2,1,2,-2.9375,3,"Great Neck, New York, United States",US,USNY,40.8007,-73.7285,951636,3,"Great Neck, New York, United States",US,USNY,40.8007,-73.7285,951636,3,"Great Neck, New York, United States",US,USNY,40.8007,-73.7285,951636,20200505,https://ny.chalkbeat.org/2020/5/4/21247282/who-got-hit-hardest-by-new-yorks-budget-crisis-its-highest-poverty-school-districts
3,921734824,20190506,201905,2019,2019.3452,LEG,LEGISLATURE,,,,,,LEG,,,JUD,ATTORNEY,,,,,,JUD,,,0,23,23,2,1,3.4,3,1,3,-2.9375,3,"Great Neck, New York, United States",US,USNY,40.8007,-73.7285,951636,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,3,"Great Neck, New York, United States",US,USNY,40.8007,-73.7285,951636,20200505,https://ny.chalkbeat.org/2020/5/4/21247282/who-got-hit-hardest-by-new-yorks-budget-crisis-its-highest-poverty-school-districts
4,921734825,20190506,201905,2019,2019.3452,LEG,SENATOR,,,,,,LEG,,,SPY,INTELLIGENCE,,,,,,SPY,,,0,51,51,5,1,3.4,278,37,278,-1.1804162064951,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,20200505,https://www.1590walg.com/news/trumps-spy-chief-pick-faces-questions-about-his-resume-and-ties-to-the-president/
5,921734826,20190506,201905,2019,2019.3452,LEG,SENATOR,,,,,,LEG,,,SPY,INTELLIGENCE,,,,,,SPY,,,0,51,51,5,1,3.4,72,36,72,-1.1798499751841498,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,20200505,https://www.1590walg.com/news/trumps-spy-chief-pick-faces-questions-about-his-resume-and-ties-to-the-president/
6,921734827,20190506,201905,2019,2019.3452,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,51,51,5,1,3.4,74,37,74,-1.1804162064951,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,20200505,https://www.1590walg.com/news/trumps-spy-chief-pick-faces-questions-about-his-resume-and-ties-to-the-president/
7,921734828,20200405,202004,2020,2020.2603,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,72,72,7,2,8.3,1,1,1,-0.9746588693957099,0,,,,,,,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20200505,https://patch.com/colorado/denver/co-gov-paul-cary-served-his-community-heroically-years
8,921734829,20200405,202004,2020,2020.2603,BGD,BANGLADESH,BGD,,,,,,,,,,,,,,,,,,0,73,73,7,2,7.4,28,7,28,-7.805907172995781,4,"Bhasan Char, Bangladesh (general), Bangladesh",BG,BG00,23.4333,90.55,-2713709,0,,,,,,,4,"Bhasan Char, Bangladesh (general), Bangladesh",BG,BG00,23.4333,90.55,-2713709,20200505,https://www.peoriapublicradio.org/post/bangladesh-sends-28-rohingya-refugees-cyclone-prone-island-over-covid-19-fears
9,921734830,20200405,202004,2020,2020.2603,BGD,BANGLADESH,BGD,,,,,,,,,,,,,,,,,,0,73,73,7,2,7.4,7,7,7,-7.805907172995781,1,Malaysia,MY,MY,2.5,112.5,MY,0,,,,,,,4,"Bhasan Char, Bangladesh (general), Bangladesh",BG,BG00,23.4333,90.55,-2713709,20200505,https://www.peoriapublicradio.org/post/bangladesh-sends-28-rohingya-refugees-cyclone-prone-island-over-covid-19-fears
10,921734831,20200405,202004,2020,2020.2603,EDU,UNIVERSITY,,,,,,EDU,,,,,,,,,,,,,0,51,51,5,1,3.4,18,3,18,-4.675069585171769,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,0,,,,,,,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20200505,https://www.humboldtjournal.ca/iran-chief-s-link-to-1988-massacre-raises-obstacles-in-crash-probe-cotler-1.24129124
11,921734832,20200405,202004,2020,2020.2603,EDU,UNIVERSITY,,,,,,EDU,,,IRN,IRAN,IRN,,,,,,,,0,51,51,5,1,3.4,12,3,12,-4.675069585171769,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20200505,https://www.humboldtjournal.ca/iran-chief-s-link-to-1988-massacre-raises-obstacles-in-crash-probe-cotler-1.24129124
12,921734833,20200405,202004,2020,2020.2603,GBR,BRITAIN,GBR,,,,,,,,GBRGOV,UNITED KINGDOM,GBR,,,,,GOV,,,1,190,190,19,4,-10.0,16,12,16,-5.1746505306238895,1,United Kingdom,UK,UK,54.0,-4.0,UK,1,United Kingdom,UK,UK,54.0,-4.0,UK,1,United Kingdom,UK,UK,54.0,-4.0,UK,20200505,https://edmontonsun.com/news/world/global-coronavirus-deaths-exceed-quarter-of-a-million-reuters-tally/wcm/28604ccf-ebd9-467b-a56d-bbf14d34e6f9
13,921734834,20200405,202004,2020,2020.2603,GBRGOV,UNITED KINGDOM,GBR,,,,,GOV,,,GBR,BRITAIN,GBR,,,,,,,,1,190,190,19,4,-10.0,16,12,16,-5.1746505306238895,1,United Kingdom,UK,UK,54.0,-4.0,UK,1,United Kingdom,UK,UK,54.0,-4.0,UK,1,United Kingdom,UK,UK,54.0,-4.0,UK,20200505,https://edmontonsun.com/news/world/global-coronavirus-deaths-exceed-quarter-of-a-million-reuters-tally/wcm/28604ccf-ebd9-467b-a56d-bbf14d34e6f9
